City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
131,Namatanai,PG,-3.6667,152.4333,86.77,62,90,5.7,overcast clouds
132,Tiksi,RU,71.6872,128.8694,15.91,88,70,16.98,broken clouds
133,Aklavik,CA,68.2191,-135.0107,25.97,93,100,5.14,overcast clouds
134,Paita,PE,-5.0892,-81.1144,61.75,84,98,12.82,overcast clouds
135,Kansanshi,ZM,-12.0951,26.4273,59.9,49,24,4.76,few clouds
136,Alice Springs,AU,-23.7,133.8833,78.35,31,0,11.5,clear sky
137,Cape Canaveral,US,28.4058,-80.6048,64.98,74,0,14.97,clear sky
138,Vigeland,NO,58.0844,7.305,47.95,81,100,3.02,overcast clouds
139,Klyuchi,RU,52.2667,79.1667,41.97,86,100,16.87,overcast clouds
140,Victoria,HK,22.2855,114.1577,79.97,67,64,8.99,broken clouds
141,Barrow,US,71.2906,-156.7887,28.42,93,100,10.36,mist
142,Luderitz,NA,-26.6481,15.1594,59.61,85,46,18.75,scattered clouds
143,Shelburne,CA,44.0787,-80.2041,34.75,98,100,14.94,overcast clouds
144,Nanakuli,US,21.3906,-158.1547,75.15,83,100,9.22,light rain
145,Bandarbeyla,SO,9.4942,50.8122,79.66,80,17,14.47,light rain
146,Mehar,PK,27.1807,67.8229,86.58,25,4,3.33,clear sky
147,Sitka,US,57.0531,-135.33,51.69,76,100,10.36,overcast clouds
148,Encruzilhada Do Sul,BR,-30.5439,-52.5219,55.51,99,84,4.92,broken clouds
149,Dingle,PH,10.9995,122.6711,85.93,72,93,4.81,heavy intensity rain
150,Ketchikan,US,55.3422,-131.6461,52.27,93,100,0.0,moderate rain
151,Vostok,RU,46.4856,135.8833,46.33,52,0,13.02,clear sky
152,Mahebourg,MU,-20.4081,57.7,72.25,77,20,0.0,few clouds
153,Castro,BR,-24.7911,-50.0119,59.92,96,94,2.57,overcast clouds
154,Mogzon,RU,51.7435,111.9606,39.85,43,100,3.8,overcast clouds
155,Isangel,VU,-19.55,169.2667,80.71,78,75,4.61,broken clouds
156,Berbera,SO,10.4396,45.0143,82.0,72,0,4.41,clear sky
157,Kaitangata,NZ,-46.2817,169.8464,48.06,89,71,17.56,broken clouds
158,Korla,CN,41.7597,86.1469,56.23,38,100,18.19,overcast clouds
159,Kloulklubed,PW,7.0419,134.2556,88.3,73,100,10.04,overcast clouds
160,Vardo,NO,70.3705,31.1107,31.98,93,75,18.41,light snow
161,Tyrma,RU,50.0833,132.1667,45.77,44,0,10.85,clear sky
